timestamp,x,y,z
306043200,113,68,-989
306543200,81,175,-1009
307043200,-89,150,-1100
307543200,-204,27,-1030
308043200,1,-72,-1013
308543200,21,-7,-1001
309043200,-35,-15,-1013
309543200,148,62,-1013
310043200,72,199,-1054
310543200,-189,140,-1034
311043200,-132,-33,-1020
311543200,46,-27,-1036
312043200,-31,-31,-1028
312543200,27,-17,-1003
313043200,140,109,-989
313543200,9,214,-1059
314043200,-195,72,-1065
314543200,-107,-48,-997
315043200,27,-7,-1036
315543200,-31,-31,-999
316043200,66,9,-993
316543200,134,136,-1034
317043200,-54,171,-1075
317543200,-191,54,-1032
318043200,-66,-50,-997
318543200,50,-13,-1032
319043200,-33,-50,-1018
319543200,91,48,-991
320043200,107,158,-1024
320543200,-121,169,-1056
321043200,-136,0,-1044
321543200,5,-48,-1009
322043200,-27,-7,-1032
322543200,3,-33,-997
323043200,163,99,-989
323543200,23,181,-1057
324043200,-171,81,-1063
324543200,-148,-7,-1011
325043200,15,-37,-1022
325543200,7,-1,-1015
326043200,17,-23,-991
326543200,158,115,-1032
327043200,-21,169,-1044
327543200,-193,99,-1069
328043200,-76,-54,-989
328543200,44,-19,-1061
329043200,-56,-23,-1026
329543200,56,0,-966
330043200,177,158,-1024
330543200,-70,185,-1067
331043200,-185,13,-1052
331543200,-31,-33,-1018
332043200,-19,-27,-1015
332543200,-1,-25,-1013
333043200,117,70,-974
333543200,78,169,-1057
334043200,-130,148,-1079
334543200,-179,11,-1020
335043200,5,-48,-1003
335543200,-7,-19,-1032
336043200,0,-46,-1020
336543200,156,91,-999
337043200,23,201,-1036
337543200,-171,117,-1050
338043200,-91,-19,-1032
338543200,25,-46,-1026
339043200,-46,-17,-1030
339543200,25,-11,-983
340043200,187,134,-1001
340543200,-17,191,-1083
341043200,-208,56,-1044
341543200,-54,-29,-1030
342043200,-5,-21,-1003
342543200,-27,-37,-1022
343043200,89,5,-974
343543200,124,140,-1042
344043200,-87,171,-1046
344543200,-199,62,-1026
345043200,-3,-42,-1009
345543200,17,-19,-1052
346043200,-50,-29,-1003
346543200,113,35,-970
347043200,109,197,-1042
347543200,-144,136,-1073
348043200,-138,-11,-1026
348543200,23,-15,-1036
349043200,-46,-31,-1009
349543200,31,-13,-1011
350043200,167,80,-979
350543200,13,169,-1093
351043200,-212,109,-1038
351543200,-64,-21,-1036
352043200,-15,0,-985
352543200,-13,-44,-1054
353043200,46,-17,-991
353543200,124,113,-1016
354043200,-17,191,-1057
354543200,-201,62,-1032
355043200,-21,-33,-1032
355543200,-3,-21,-1032
356043200,-31,-31,-1030
356543200,103,15,-950
357043200,134,177,-1028
357543200,-101,134,-1079
358043200,-183,19,-1042
358543200,-7,-37,-1020
359043200,-11,0,-1009
359543200,-17,-33,-995
360043200,162,54,-999
360543200,54,181,-1052
361043200,-136,134,-1061
361543200,-148,-1,-985
362043200,23,-15,-1040
362543200,-37,-44,-1028
363043200,19,-21,-1015
363543200,162,95,-976
364043200,9,201,-1046
364543200,-160,107,-1057
365043200,-113,-44,-1018
365543200,19,-17,-1056
366043200,-80,-33,-985
366543200,95,1,-1005
367043200,187,140,-1009
367543200,-74,167,-1073
368043200,-183,68,-1052
368543200,-39,-33,-1011
369043200,9,-1,-1038
369543200,-42,-58,-1001
370043200,130,23,-1007
370543200,68,156,-1026
371043200,-91,165,-1069
371543200,-130,39,-1022
372043200,-13,-37,-1032
372543200,-3,-17,-1044
373043200,-48,-70,-995
373543200,181,83,-991
374043200,64,162,-1034
374543200,-158,132,-1091
375043200,-160,-5,-993
375543200,0,-21,-1050
376043200,-31,-9,-1016
376543200,17,-52,-968
377043200,220,113,-1036
377543200,-68,163,-1022
378043200,-148,103,-1089
378543200,-66,1,-966
379043200,19,-31,-1046
379543200,-48,-27,-1016
380043200,80,-9,-1003
380543200,142,126,-999
381043200,-66,183,-1073
381543200,-175,48,-1036
382043200,-21,-39,-1036
382543200,-7,0,-1034
383043200,-42,-46,-995
383543200,152,48,-974
384043200,97,154,-1056
384543200,-142,130,-1069
385043200,-154,29,-1046
385543200,-13,-39,-993
386043200,-15,11,-1044
386543200,-7,-54,-987
387043200,183,70,-1003
387543200,13,208,-1044
388043200,-189,101,-1048
388543200,-40,0,-1030
389043200,-27,-42,-1022
389543200,-29,-19,-1052
390043200,31,-48,-968
390543200,171,148,-997
391043200,-15,175,-1071
391543200,-154,62,-1067
392043200,-76,-7,-1032
392543200,-29,-40,-1003
393043200,-37,-29,-1018
393543200,87,9,-976
394043200,171,130,-1042
394543200,-117,195,-1044
395043200,-171,52,-1036
395543200,7,-25,-1016
396043200,-29,-25,-1038
396543200,-21,-48,-1020
397043200,115,25,-970
397543200,115,199,-1056
398043200,-140,121,-1032
398543200,-70,27,-1054
399043200,-42,-27,-1018
399543200,-56,-33,-1042
400043200,23,-23,-1001
400543200,152,56,-962
401043200,76,203,-1112
401543200,-220,105,-1015
402043200,-89,9,-1040
402543200,3,-9,-1009
403043200,-50,-39,-1030
403543200,70,-40,-999
404043200,138,103,-1018
404543200,-56,197,-1052
405043200,-163,78,-1040
405543200,3,-11,-1013
406043200,-40,-17,-1022
406543200,-56,-31,-1034
407043200,99,-15,-962
407543200,156,173,-1032
408043200,-103,146,-1061
408543200,-140,29,-1046
409043200,-23,3,-1040
409543200,-40,-46,-1011
410043200,3,-31,-1005
410543200,167,50,-985
411043200,50,144,-1050
411543200,-132,150,-1081
412043200,-165,7,-987
412543200,31,-17,-1042
413043200,-72,-40,-1009
413543200,27,-23,-1030
414043200,160,80,-976
414543200,9,208,-1065
415043200,-167,93,-1042
415543200,-44,-27,-1020
416043200,-5,5,-1057
416543200,-87,-50,-1003
417043200,87,-5,-960
417543200,158,146,-1013
418043200,-42,158,-1083
418543200,-150,70,-1050
419043200,-89,-19,-1003
419543200,-23,-21,-1034
420043200,-46,-48,-1009
420543200,158,15,-1016
421043200,91,152,-1003
421543200,-117,181,-1089
422043200,-146,39,-985
422543200,31,-33,-1065
423043200,-64,-15,-1026
